unlabeled,labeled
adm enst00000278175,1329
tspan31 enst00000547992,51414
chtf8 enst00000522091,9677
ctdnep1 enst00000574322,11707
ap2m1 enst00000292807,2761
cmtm6,10300
arl8b enst00000611208,3505
cntn6,10499
serpinb8,42999
hgfac enst00000382774,20998
rnf14 enst00000356143,40752
f12,16119
pacsin1 enst00000244458,33997
paqr6 enst00000623241,34180
ccdc28b,7644
ext2,16051
tpi1 enst00000535434,50515
syt1 enst00000552744,47530
tssk4 enst00000428351,51489
ap5m1,2813
serpina5 enst00000554866,42954
prkg2 enst00000395578,37691
lvrn,26456
fgf10,17357
gabrr1 enst00000435811,18393
c10orf82 enst00000369210,5672
echdc3,14508
cars,7166
pga3 enst00000538258,35294
neu3 enst00000532963,31004
anapc15 enst00000538393,2287
dct,12666
dock9,13909
nrxn3 enst00000634499,32194
siva1 enst00000347067,43667
c16orf54,5861
shisa6 enst00000409168,43463
drc3 enst00000313838,14065
mlx enst00000435881,28582
or7c1 enst00000641666,33530
mcfd2,27592
mrtfa enst00000396617,29268
dlec1,13419
mapk10 enst00000641911,27159
pcdhgc5,34644
ablim3 enst00000508983,320
tmem161b enst00000512429,49449
ppard enst00000360694,36948
gpr157,19749
ryr2 enst00000360064,41851
zp4,56255
tmem173,49475
ankib1,2378
